N-Z,N,Z,A,EL,O,MASS EXCESS (keV),BINDING ENERGY/A (keV),BETA-DECAY ENERGY (keV),ATOMIC MASS (micro-u)
3,,60,57,La,-p,,200#,8087#,2#    B-      *
0 34,,76,42,Mo,-32630,,500#,8069#,4#    B-  11159
32,,75,43,Tc,-43790,,401#,8157#,3#    B-  13470
30,,74,44,Ru,-57260,,200#,8265#,2#    B-   7628
28,,73,45,Rh,-64887,,24.235,8322.8,58    0.205 B-  10501
26,,72,46,Pd,-75388,-75388.746,2.491,8405.2,22    0.021 B-   4165
24,,71,47,Ag,-79553,,2.515,8433.8,89    0.021 B-   7147
22,,70,48,Cd,-nn,,20.001,8487.8,34    0.169 B-    526
20,,69,49,In,-87228,-87228.211,7.752,8485.6,67    0.066 B-   4424
18,,68,50,Sn,-91652,-91652.853,0.499,8516.5,33    0.004 B-  -3656
16,,67,51,Sb,-87996,,3.016,8478.9,15    0.026 B-   -299
14,,66,52,Te,-87696,,18.481,8469.7,46    0.157 B-  -6725
12,,65,53,I,-80971,,19.760,8406.1,20    0.167 B-  -2891
10,,64,54,Xe,-78079,,10.378,8374.9,81    0.088 B-  -9669
8,,63,55,Cs,-68409,,12.753,8286.4,04    0.108 B-  -6055
6,,62,56,Ba,-62354,,196#,8228#,2#    B- -12794
4,,61,57,La,-49560,,300#,8113#,3#    B-      *
0 33,,76,43,Tc,-40371,,503#,8128#,4#    B-  12193
31,,75,44,Ru,-52564,,298#,8224#,3#    B-  10259
29,,74,45,Rh,-62822,,9.315,8303.3,94    0.078 B-   8585
27,,73,46,Pd,-71407,,8.245,8368.9,64    0.069 B-   7237
25,,72,47,Ag,-78645,-78645.765,14.703,8423.2,12    0.124 B-   5331
23,,71,48,Cd,-83977,-83977.068,37.695,8461.4,38    0.317 B-   3722
21,,70,49,In,-87699,-87699.281,7.307,8486.1,43    0.061 B-   2365
19,,69,50,Sn,-90065,-90065.022,0.725,8499.4,49    0.006 B-   -590
17,,68,51,Sb,-89474,-89474.18,7.701,8487.9,10    0.065 B-  -2293
15,,67,52,Te,-87181,,7.957,8462.0,66    0.067 B-  -3415
13,,66,53,I,-83765,,27.945,8426.7,89    0.235 B-  -4971
11,,65,54,Xe,-78794,,10.378,8378.4,41    0.087 B-  -6489
9,,64,55,Cs,-72305,,13.940,8317.3,34    0.117 B-  -7714
7,,63,56,Ba,-64590,,200.269,8245.9,28    1.683 B-  -9801
5,,62,57,La,-54790,,300#,8157#,3#    B- -10849
3,,61,58,Ce,-43940,,500#,8059#,4#    B-      *
0 34,,77,43,Tc,-35518,,503#,8087#,4#    B-  14494
32,,76,44,Ru,-50012,,401#,8201#,3#    B-   8803
30,,75,45,Rh,-58815,,196#,8268#,2#    B-  11466
28,,74,46,Pd,-70280,-70280.05,2.291,8357.0,85    0.019 B-   5371
26,,73,47,Ag,-75651,,4.471,8395.3,27    0.037 B-   8305
24,,72,48,Cd,-83957,,3.726,8458.0,23    0.031 B-   1771
22,,71,49,In,-85728,,40.010,8466.2,62    0.333 B-   5370
20,,70,50,Sn,-91098,-91098.369,0.896,8504.4,92    0.007 B-  -2680
18,,69,51,Sb,-88417,,7.196,8475.6,35    0.060 B-    950
16,,68,52,Te,-89367,-89367.987,3.085,8477.0,34    0.026 B-  -5615
14,,67,53,I,-83752,,15.314,8423.7,22    0.128 B-  -1580
12,,66,54,Xe,-82172,,11.817,8404.0,31    0.098 B-  -8283
10,,65,55,Cs,-73888,,9.970,8328.4,80    0.083 B-  -5000
8,,64,56,Ba,-68888,,300.166,8280.2,94    2.501 B- -11319
6,,63,57,La,-57570,,300#,8179#,2#    B-  -7970
4,,62,58,Ce,-49600,,500#,8107#,4#    B-      *
0 35,,78,43,Tc,-31780,,500#,8056#,4#    B-  13267
33,,77,44,Ru,-45047,,401#,8159#,3#    B-  11203
31,,76,45,Rh,-56250,,619.444,8245.2,39    5.119 B-   9932
29,,75,46,Pd,-66182,,3.353,8320.8,58    0.028 B-   8220
27,,74,47,Ag,-74402,,12.109,8382.3,30    0.100 B-   6671
25,,73,48,Cd,-81073,,1.942,8430.9,96    0.016 B-   4762
23,,72,49,In,-85835,,27.414,8463.8,87    0.227 B-   3361
21,,71,50,Sn,-89197,-89197.265,0.955,8485.2,01    0.008 B-    403
19,,70,51,Sb,-89600,-89600.321,2.582,8482.0,66    0.021 B-  -1054
17,,69,52,Te,-88545,-88545.502,25.850,8466.8,83    0.214 B-  -2294
15,,68,53,I,-86251,-86251.449,5.356,8441.4,58    0.044 B-  -3770
13,,67,54,Xe,-82480,-82480.986,10.243,8403.8,32    0.085 B-  -5378
11,,66,55,Cs,-77102,-77102.331,14.290,8352.9,14    0.118 B-  -6357
9,,65,56,Ba,-70744,,141.898,8293.9,07    1.173 B-  -8555
7,,64,57,La,-62190,,300#,8217#,2#    B-  -9500
5,,63,58,Ce,-52690,,401#,8132#,3#    B- -11268
3,,62,59,Pr,-p,,500#,8032#,4#    B-      *
0 34,,78,44,Ru,-42150,,500#,8135#,4#    B-   9930
32,,77,45,Rh,-52080,,300#,8210#,2#    B-  12536
30,,76,46,Pd,-64616,,19.561,8305.9,75    0.160 B-   6489
28,,75,47,Ag,-71106,,38.191,8352.7,58    0.313 B-   9506
26,,74,48,Cd,-80612,-80612.374,2.299,8424.2,66    0.019 B-   2960
24,,73,49,In,-83572,,50.057,8442.1,18    0.410 B-   6368
22,,72,50,Sn,-89941,-89941.333,2.395,8487.9,07    0.020 B-  -1605
20,,71,51,Sb,-88335,-88335.37,2.578,8468.3,31    0.021 B-   1979
18,,70,52,Te,-90314,-90314.46,1.507,8478.1,40    0.012 B-  -4234
16,,69,53,I,-86080,,5.222,8437.0,23    0.043 B-   -725
14,,68,54,Xe,-85354,,11.111,8424.6,64    0.091 B-  -7210
12,,67,55,Cs,-78144,-78144.759,33.687,8359.1,51    0.276 B-  -3535
10,,66,56,Ba,-74608,,27.945,8323.7,56    0.229 B- -10066
8,,65,57,La,-64543,,298#,8235#,2#    B-  -6669
6,,64,58,Ce,-57874,,401#,8174#,3#    B- -13094
4,,63,59,Pr,-44780,,500#,8060#,4#    B-      *
0 35,,79,44,Ru,-37080,,500#,8093#,4#    B-  12280
33,,78,45,Rh,-49360,,400#,8186#,3#    B-  11070
31,,77,46,Pd,-60429,,789.441,8270.0,31    6.418 B-   9118
29,,76,47,Ag,-69548,,30.739,8337.8,03    0.250 B-   7866
27,,75,48,Cd,-77414,-77414.181,2.696,8395.3,95    0.022 B-   6016
25,,74,49,In,-83430,-83430.353,19.827,8437.9,46    0.161 B-   4385
23,,73,50,Sn,-87816,-87816.181,2.416,8467.2,43    0.020 B-   1407
21,,72,51,Sb,-89224,-89224.069,1.506,8472.3,28    0.012 B-    -51
19,,71,52,Te,-89172,-89172.156,1.505,8465.5,46    0.012 B-  -1228
17,,70,53,I,-87943,-87943.727,3.740,8449.1,98    0.030 B-  -2695
15,,69,54,Xe,-85248,-85248.701,9.537,8420.9,27    0.078 B-  -4205
13,,68,55,Cs,-81043,,12.109,8380.3,79    0.098 B-  -5388
11,,67,56,Ba,-75654,,12.109,8330.2,08    0.098 B-  -7004
9,,66,57,La,-68651,,196#,8267#,2#    B-  -8365
7,,65,58,Ce,-60286,,298#,8193#,2#    B- -10056
5,,64,59,Pr,-50230,,400#,8104#,3#    B-      *
0 36,,80,44,Ru,-33960,,600#,8068#,5#    B-  10929
34,,79,45,Rh,-44890,,400#,8149#,3#    B-  13500
32,,78,46,Pd,-58390,,298#,8252#,2#    B-   7810
30,,77,47,Ag,-66200,,251.503,8308.6,55    2.028 B-  10501
28,,76,48,Cd,-76701,-76701.672,2.995,8387.0,35    0.024 B-   4168
26,,75,49,In,-80870,-80870.201,30.572,8414.3,43    0.247 B-   7363
24,,74,50,Sn,-88234,-88234.193,1.014,8467.4,21    0.008 B-   -613
22,,73,51,Sb,-n,,1.507,8456.1,60    0.012 B-   2905
20,,72,52,Te,-90525,-90525.321,1.502,8473.2,79    0.012 B-  -3159
18,,71,53,I,-87365,,2.390,8441.4,89    0.019 B-    295
16,,70,54,Xe,-87661,-87661.421,1.793,8437.5,65    0.014 B-  -5930
14,,69,55,Cs,-81731,,8.304,8383.4,32    0.067 B-  -2641
12,,68,56,Ba,-79089,,12.497,8355.8,20    0.101 B-  -8831
10,,67,57,La,-70258,,56.669,8278.2,92    0.457 B-  -5343
8,,66,58,Ce,-64916,,298#,8229#,2#    B- -11765
6,,65,59,Pr,-53151,,401#,8128#,3#    B-  -8626
4,,64,60,Nd,-44525,,503#,8052#,4#    B-      *
0 35,,80,45,Rh,-42000,,500#,8126#,4#    B-  12120
33,,79,46,Pd,-54120,,400#,8216#,3#    B-  10400
31,,78,47,Ag,-64519,,433.145,8293.3,14    3.465 B-   8828
29,,77,48,Cd,-73348,-73348.095,2.885,8357.6,81    0.023 B-   7128
27,,76,49,In,-80476,-80476.805,27.023,8408.4,52    0.216 B-   5419
25,,75,50,Sn,-85896,-85896.376,1.033,8445.5,50    0.008 B-   2359
23,,74,51,Sb,-88256,,2.599,8458.1,70    0.021 B-    766
21,,73,52,Te,-89022,-89022.974,1.502,8458.0,45    0.012 B-   -185
19,,72,53,I,-88837,,1.504,8450.3,00    0.012 B-  -1643
17,,71,54,Xe,-87193,-87193.381,1.836,8430.8,90    0.015 B-  -3105
15,,70,55,Cs,-84087,-84087.95,7.744,8399.7,88    0.062 B-  -4418
13,,69,56,Ba,-79668,-79668.965,10.992,8358.1,78    0.088 B-  -5909
11,,68,57,La,-73759,-73759.484,25.997,8304.6,43    0.208 B-  -7102
9,,67,58,Ce,-66658,,196#,8242#,2#    B-  -8718
7,,66,59,Pr,-57940,,300#,8166#,2#    B- -10341
5,,65,60,Nd,-47599,,401#,8077#,3#    B-      *
0 36,,81,45,Rh,-37300,,500#,8088#,4#    B-  14560
34,,80,46,Pd,-51860,,400#,8197#,3#    B-   8820
32,,79,47,Ag,-60680,,200#,8261#,2#    B-  11576
30,,78,48,Cd,-72256,-72256.802,2.476,8346.7,47    0.020 B-   5516
28,,77,49,In,-77772,-77772.908,26.921,8384.3,17    0.214 B-   8242
26,,76,50,Sn,-86015,-86015.24,10.447,8443.5,23    0.083 B-    378
24,,75,51,Sb,-86393,,31.767,8440.3,14    0.252 B-   3672
22,,74,52,Te,-90065,-90065.348,1.504,8463.2,48    0.012 B-  -2154
20,,73,53,I,-87911,-87911.318,3.809,8439.9,44    0.030 B-   1235
18,,72,54,Xe,-89146,-89146.962,3.500,8443.5,41    0.028 B-  -4796
16,,71,55,Cs,-84350,-84350.829,10.401,8399.2,68    0.083 B-  -1680
14,,70,56,Ba,-82669,,12.497,8379.7,18    0.099 B-  -7696
12,,69,57,La,-74973,,90.508,8312.4,26    0.718 B-  -4152
10,,68,58,Ce,-70820,,27.945,8273.2,57    0.222 B- -10497
8,,67,59,Pr,-60324,,196#,8184#,2#    B-  -7331
6,,66,60,Nd,-52993,,298#,8119#,2#    B- -13643
4,,65,61,Pm,-39350,,500#,8005#,4#    B-      *
0 37,,82,45,Rh,-34030,,600#,8062#,5#    B-  13150
35,,81,46,Pd,-47180,,500#,8159#,4#    B-  11260
33,,80,47,Ag,-58440,,200#,8242#,2#    B-  10307
31,,79,48,Cd,-68747,,12.109,8316.9,45    0.095 B-   8148
29,,78,49,In,-76896,-76896.184,21.157,8374.9,49    0.167 B-   6574
27,,77,50,Sn,-83470,-83470.803,10.057,8420.5,57    0.079 B-   3228
25,,76,51,Sb,-86699,-86699.477,5.126,8439.8,20    0.040 B-   1582
23,,75,52,Te,-88281,-88281.678,1.514,8446.1,18    0.012 B-    702
21,,74,53,I,-88983,-88983.909,3.647,8445.4,87    0.029 B-   -662
19,,73,54,Xe,-88321,-88321.56,4.110,8434.1,11    0.032 B-  -2081
17,,72,55,Cs,-86240,-86240.154,5.578,8411.5,62    0.044 B-  -3422
15,,71,56,Ba,-82817,-82817.944,11.357,8378.4,55    0.089 B-  -4921
13,,70,57,La,-77896,-77896.108,26.000,8333.5,40    0.205 B-  -5916
11,,69,58,Ce,-71979,,28.876,8280.7,91    0.227 B-  -7436
9,,68,59,Pr,-64543,,196#,8216#,2#    B-  -9008
7,,67,60,Nd,-55536,,298#,8139#,2#    B- -10749
5,,66,61,Pm,-44786,,401#,8048#,3#    B-      *
0 36,,82,46,Pd,-44490,,500#,8138#,4#    B-  10130
34,,81,47,Ag,-54620,,300#,8211#,2#    B-  12622
32,,80,48,Cd,-67241,-67241.89,7.244,8303.2,64    0.057 B-   6904
30,,79,49,In,-74145,-74145.941,153.479,8351.0,90    1.199 B-   9216
28,,78,50,Sn,-83362,-83362.008,17.660,8416.9,79    0.138 B-   1268
26,,77,51,Sb,-84630,,19.119,8420.7,75    0.149 B-   4363
24,,76,52,Te,-88993,-88993.716,0.866,8448.7,52    0.007 B-  -1254
22,,75,53,I,-87738,-87738.724,3.647,8432.8,36    0.028 B-   2121
20,,74,54,Xe,-89860,-89860.298,1.061,8443.2,98    0.008 B-  -3928
18,,73,55,Cs,-85931,-85931.581,5.443,8406.4,93    0.043 B-   -553
16,,72,56,Ba,-85378,-85378.497,5.195,8396.0,60    0.041 B-  -6753
14,,71,57,La,-78625,,54.448,8337.1,90    0.425 B-  -3091
12,,70,58,Ce,-75533,,27.945,8306.9,25    0.218 B-  -9203
10,,69,59,Pr,-66330,,29.808,8228.9,13    0.233 B-  -6017
8,,68,60,Nd,-60314,,196#,8176#,2#    B- -12529
6,,67,61,Pm,-47786,,298#,8072#,2#    B-  -9116
4,,66,62,Sm,-38670,,500#,7994#,4#    B-      *
0 37,,83,46,Pd,-37610,,600#,8084#,5#    B-  14370
35,,82,47,Ag,-51980,,400#,8189#,3#    B-  11078
33,,81,48,Cd,-63058,,16.767,8269.0,34    0.130 B-   9779
31,,80,49,In,-72837,-72837.72,2.693,8338.7,80    0.021 B-   7753
29,,79,50,Sn,-80590,-80590.903,17.277,8392.8,18    0.134 B-   4038
27,,78,51,Sb,-84629,,21.231,8418.0,58    0.165 B-   2375
25,,77,52,Te,-87004,-87004.807,0.869,8430.4,09    0.007 B-   1502
23,,76,53,I,-88507,-88507.125,3.168,8435.9,90    0.025 B-    188
21,,75,54,Xe,-88696,-88696.058,96    0.0053,7   8431.3,90    0.000 B-  -1196
19,,74,55,Cs,-87499,-87499.246,4.555,8416.0,47    0.035 B-  -2436
17,,73,56,Ba,-85063,-85063.198,10.577,8391.0,98    0.082 B-  -3738
15,,72,57,La,-81324,-81324.573,21.351,8356.0,52    0.166 B-  -5037
13,,71,58,Ce,-76287,,27.945,8310.9,40    0.217 B-  -6513
11,,70,59,Pr,-69773,,29.808,8254.3,80    0.231 B-  -7459
9,,69,60,Nd,-62315,,202#,8190#,2#    B-  -9434
7,,68,61,Pm,-52881,,298#,8111#,2#    B- -10881
5,,67,62,Sm,-42000,,500#,8021#,4#    B-      *
0 36,,83,47,Ag,-nn,,500#,8140#,4#    B-  15420
34,,82,48,Cd,-61117,,22.356,8252.5,86    0.172 B-   8765
32,,81,49,In,-69883,,38.046,8313.9,96    0.293 B-  10249
30,,80,50,Sn,-80132,-80132.206,1.873,8386.8,16    0.014 B-   2153
28,,79,51,Sb,-82285,-82285.676,14.212,8397.3,63    0.109 B-   5067
26,,78,52,Te,-87352,-87352.949,0.011,8430.3,24    0.000 B-   -416
24,,77,53,I,-n,,3.168,8421.1,00    0.024 B-   2944
22,,76,54,Xe,-89880,-89880.463,0.009,8437.7,31    0.000 B-  -2980
20,,75,55,Cs,-86899,-86899.743,8.357,8408.7,84    0.064 B-    361
18,,74,56,Ba,-87261,-87261.544,2.553,8405.5,49    0.020 B-  -5634
16,,73,57,La,-81627,,25.946,8356.1,91    0.200 B-  -2204
14,,72,58,Ce,-79422,,27.945,8333.2,16    0.215 B-  -8247
12,,71,59,Pr,-71175,,64.273,8263.7,56    0.494 B-  -4579
10,,70,60,Nd,-66596,,27.945,8222.5,13    0.215 B- -11200
8,,69,61,Pm,-55396,,196#,8130#,2#    B-  -7890
6,,68,62,Sm,-47506,,401#,8064#,3#    B- -13823
4,,67,63,Eu,-p,,500#,7951#,4#    B-      *
0 37,,84,47,Ag,-40380,,500#,8099#,4#    B-  14839
35,,83,48,Cd,-55218,,102.464,8206.1,75    0.782 B-  12806
33,,82,49,In,-68025,,2.701,8297.9,59    0.021 B-   9239
31,,81,50,Sn,-77264,-77264.571,3.621,8362.5,17    0.028 B-   4716
29,,80,51,Sb,-81981,-81981.401,2.084,8392.5,52    0.016 B-   3229
27,,79,52,Te,-n,,0.061,8411.2,33    0.001 B-   2231
25,,78,53,I,-87442,,0.605,8422.2,97    0.005 B-    970
23,,77,54,Xe,-88413,-88413.558,0.009,8423.7,36    0.000 B-   -354
21,,76,55,Cs,-88058,-88058.786,4.974,8415.0,56    0.038 B-  -1375
19,,75,56,Ba,-86683,-86683.731,2.569,8398.5,87    0.020 B-  -2914
17,,74,57,La,-83769,,27.945,8370.3,67    0.213 B-  -4060
15,,73,58,Ce,-79708,-79708.44,32.802,8333.3,96    0.250 B-  -5407
13,,72,59,Pr,-74300,-74300.656,46.995,8286.1,43    0.359 B-  -6532
11,,71,60,Nd,-67768,-67768.033,27.517,8230.3,04    0.210 B-  -8108
9,,70,61,Pm,-59660,,200#,8162#,2#    B-  -9527
7,,69,62,Sm,-50133,,401#,8084#,3#    B- -10863
5,,68,63,Eu,-p,,401#,7995#,3#    B-      *
0 38,,85,47,Ag,-33790,,500#,8049#,4#    B-  16473
36,,84,48,Cd,-50263,,196#,8168#,1#    B-  12148
34,,83,49,In,-62411,,60.033,8253.7,15    0.455 B-  14135
32,,82,50,Sn,-76546,-76546.542,1.976,8354.8,72    0.015 B-   3088
30,,81,51,Sb,-79635,-79635.271,2.467,8372.3,44    0.019 B-   5552
28,,80,52,Te,-85188,-85188.186,3.486,8408.4,85    0.026 B-    515
26,,79,53,I,-85703,-85703.49,4.065,8406.4,62    0.031 B-   3575
24,,78,54,Xe,-89278,-89278.961,79    0.0051,5   8427.6,22    0.000 B-  -2126
22,,77,55,Cs,-87152,-87152.681,1.036,8405.5,87    0.008 B-   1282
20,,76,56,Ba,-88435,-88435.017,1.054,8409.3,75    0.008 B-  -4711
18,,75,57,La,-83723,-83723.65,36.359,8367.7,56    0.275 B-  -1252
16,,74,58,Ce,-82470,-82470.896,20.442,8352.3,38    0.155 B-  -7243
14,,73,59,Pr,-75227,,28.876,8291.5,37    0.219 B-  -3801
12,,72,60,Nd,-71425,,24.205,8256.8,10    0.183 B-  -9798
10,,71,61,Pm,-61628,,149#,8177#,1#    B-  -6548
8,,70,62,Sm,-55079,,298#,8121#,2#    B- -12879
6,,69,63,Eu,-42200,,400#,8018#,3#    B-      *
0 37,,85,48,Cd,-43920,,298#,8119#,2#    B-  13544
35,,84,49,In,-57464,,196#,8215#,1#    B-  13410
33,,83,50,Sn,-70873,-70873.88,1.904,8310.0,88    0.014 B-   8049
31,,82,51,Sb,-78923,-78923.503,3.128,8364.7,29    0.024 B-   4013
29,,81,52,Te,-82937,-82937.122,2.066,8389.0,25    0.016 B-   2921
27,,80,53,I,-85858,,6.427,8405.1,06    0.048 B-   1785
25,,79,54,Xe,-87643,,2.400,8412.6,47    0.018 B-    427
23,,78,55,Cs,-88070,-88070.931,0.008,8409.9,78    0.000 B-   -517
21,,77,56,Ba,-87553,-87553.613,0.992,8400.2,06    0.007 B-  -2059
19,,76,57,La,-85494,,27.945,8378.8,41    0.210 B-  -3076
17,,75,58,Ce,-82418,,16.354,8349.8,29    0.123 B-  -4480
15,,74,59,Pr,-77937,,12.497,8310.2,58    0.094 B-  -5605
13,,73,60,Nd,-72332,,46.575,8262.2,31    0.350 B-  -6924
11,,72,61,Pm,-65407,,50.301,8204.2,83    0.378 B-  -8177
9,,71,62,Sm,-57231,,298#,8137#,2#    B-  -9995
7,,70,63,Eu,-47236,,298#,8056#,2#    B- -11376
5,,69,64,Gd,-35860,,500#,7964#,4#    B-      *
0 38,,86,48,Cd,-38920,,400#,8082#,3#    B-  12741
36,,85,49,In,-51661,,298#,8171#,2#    B-  14773
34,,84,50,Sn,-66433,,3.167,8275.1,71    0.024 B-   7586
32,,83,51,Sb,-74020,,1.705,8325.9,50    0.013 B-   8513
30,,82,52,Te,-82533,-82533.741,2.746,8383.6,43    0.020 B-   1509
28,,81,53,I,-84043,-84043.429,4.857,8389.0,71    0.036 B-   4082
26,,80,54,Xe,-88125,-88125.822,0.009,8413.6,99    0.000 B-  -1234
24,,79,55,Cs,-86891,-86891.154,0.016,8398.6,46    0.000 B-   2058
22,,78,56,Ba,-88949,-88949.853,0.304,8408.1,71    0.002 B-  -3731
20,,77,57,La,-85218,,19.930,8374.4,88    0.149 B-   -385
18,,76,58,Ce,-84832,,20.387,8365.7,71    0.152 B-  -6304
16,,75,59,Pr,-78527,,20.316,8312.8,81    0.152 B-  -2881
14,,74,60,Nd,-75646,,11.817,8285.5,38    0.088 B-  -8907
12,,73,61,Pm,-66738,,57.753,8213.2,25    0.431 B-  -5363
10,,72,62,Sm,-61376,,196#,8167#,1#    B- -11448
8,,71,63,Eu,-49928,,298#,8076#,2#    B-  -8626
6,,70,64,Gd,-41302,,401#,8006#,3#    B-      *
0 37,,86,49,In,-46528,,401#,8132#,3#    B-  14104
35,,85,50,Sn,-60632,,3.074,8230.6,87    0.023 B-   9058
33,,84,51,Sb,-69690,-69690.323,2.640,8291.9,89    0.020 B-   8038
31,,83,52,Te,-77728,-77728.78,1.722,8345.7,38    0.013 B-   6050
29,,82,53,I,-83779,-83779.145,2.061,8384.7,60    0.015 B-   2634
27,,81,54,Xe,-86413,-86413.151,3.720,8398.4,76    0.028 B-   1168
25,,80,55,Cs,-87581,-87581.643,0.992,8401.3,36    0.007 B-    268
23,,79,56,Ba,-87850,-87850.498,0.306,8397.5,33    0.002 B-  -1207
21,,78,57,La,-86643,-86643.317,9.434,8382.7,95    0.070 B-  -2027
19,,77,58,Ce,-84616,-84616.171,10.267,8361.9,84    0.076 B-  -3680
17,,76,59,Pr,-80935,,11.817,8328.9,28    0.088 B-  -4722
15,,75,60,Nd,-76213,,19.128,8288.1,53    0.142 B-  -6161
13,,74,61,Pm,-70052,,75.451,8236.7,17    0.559 B-  -7194
11,,73,62,Sm,-62857,,154.628,8177.6,26    1.145 B-  -8709
9,,72,63,Eu,-54148,,196#,8107#,1#    B-  -9757
7,,71,64,Gd,-44390,,400#,8029#,3#    B- -11565
5,,70,65,Tb,-p,,401#,7938#,3#    B-      *
0 38,,87,49,In,-40510,,400#,8087#,3#    B-  15389
36,,86,50,Sn,-55899,,298#,8195#,2#    B-   8608
34,,85,51,Sb,-64506,-64506.88,5.830,8252.2,52    0.043 B-   9918
32,,84,52,Te,-74425,-74425.269,2.281,8319.4,29    0.017 B-   5119
30,,83,53,I,-79545,-79545.214,14.188,8351.3,23    0.104 B-   6883
28,,82,54,Xe,-86429,-86429.159,0.007,8396.1,88    0.000 B-    -90
26,,81,55,Cs,-86338,,1.882,8389.7,70    0.014 B-   2548
24,,80,56,Ba,-88886,-88886.921,0.306,8402.7,55    0.002 B-  -2849
22,,79,57,La,-86037,,53.171,8376.0,50    0.391 B-    470
20,,78,58,Ce,-86508,-86508.372,0.408,8373.7,60    0.003 B-  -5168
18,,77,59,Pr,-81340,-81340.355,11.455,8330.0,08    0.084 B-  -2141
16,,76,60,Nd,-79199,,11.817,8308.5,12    0.087 B-  -8029
14,,75,61,Pm,-71169,,69.073,8243.7,20    0.508 B-  -4359
12,,74,62,Sm,-66810,,12.497,8205.9,16    0.092 B- -10567
10,,73,63,Eu,-56244,,196#,8122#,1#    B-  -7154
8,,72,64,Gd,-49090,,298#,8064#,2#    B- -12960
6,,71,65,Tb,-36130,,500#,7963#,4#    B-      *
0 39,,88,49,In,-35040,,500#,8047#,4#    B-  14748
37,,87,50,Sn,-49788,,401#,8149#,3#    B-  10272
35,,86,51,Sb,-60060,,52.164,8218.4,76    0.381 B-   9243
33,,85,52,Te,-69303,-69303.753,2.100,8280.2,35    0.015 B-   7052
31,,84,53,I,-2n,,8.383,8326.0,02    0.061 B-   6027
29,,83,54,Xe,-n,,0.103,8364.2,86    0.001 B-   4162
27,,82,55,Cs,-86545,,0.358,8388.9,56    0.003 B-   1175
25,,81,56,Ba,-87721,-87721.235,0.314,8391.8,27    0.002 B-   -580
23,,80,57,La,-87140,,1.659,8381.8,79    0.012 B-  -1222
21,,79,58,Ce,-85918,-85918.588,0.437,8367.2,48    0.003 B-  -2716
19,,78,59,Pr,-83201,-83201.693,8.137,8341.7,06    0.059 B-  -3617
17,,77,60,Nd,-79584,-79584.567,11.737,8309.5,93    0.086 B-  -5511
15,,76,61,Pm,-74072,,13.041,8263.6,51    0.095 B-  -6046
13,,75,62,Sm,-68026,-68026.525,42.395,8213.8,06    0.309 B-  -7880
11,,74,63,Eu,-60145,,4.378,8150.5,73    0.032 B-  -8932
9,,73,64,Gd,-51214,,298#,8080#,2#    B- -10246
7,,72,65,Tb,-40967,,401#,7999#,3#    B-      *
0 38,,88,50,Sn,-44861,,503#,8113#,4#    B-   9360
36,,87,51,Sb,-54220,,1064.232,8175.0,91    7.712 B-  11475
34,,86,52,Te,-65695,-65695.985,3.787,8252.5,78    0.027 B-   6283
32,,85,53,I,-71979,,5.962,8292.4,44    0.043 B-   7992
30,,84,54,Xe,-79972,-79972.233,2.804,8344.6,90    0.020 B-   2914
28,,83,55,Cs,-82886,-82886.937,9.159,8360.1,42    0.066 B-   5374
26,,82,56,Ba,-88261,-88261.638,0.317,8393.4,20    0.002 B-  -1742
24,,81,57,La,-86519,-86519.18,3.188,8375.1,25    0.023 B-   1051
22,,80,58,Ce,-87570,-87570.922,4.931,8377.0,77    0.036 B-  -4437
20,,79,59,Pr,-83133,,11.150,8339.2,55    0.081 B-  -1115
18,,78,60,Nd,-82018,-82018.31,11.601,8325.5,02    0.084 B-  -7077
16,,77,61,Pm,-74940,-74940.483,27.739,8268.5,44    0.201 B-  -3442
14,,76,62,Sm,-71497,,11.817,8237.9,28    0.086 B-  -9748
12,,75,63,Eu,-61749,,27.945,8161.6,20    0.202 B-  -5949
10,,74,64,Gd,-55800,,196#,8113#,1#    B- -12132
8,,73,65,Tb,-43668,,298#,8019#,2#    B-  -8737
6,,72,66,Dy,-34931,,503#,7950#,4#    B-      *
0 39,,89,50,Sn,-38440,,500#,8066#,4#    B-  11348
37,,88,51,Sb,-49788,,401#,8142#,3#    B-  10417
35,,87,52,Te,-60205,,3.540,8211.7,71    0.025 B-   8265
33,,86,53,I,-68470,,4.005,8265.6,09    0.029 B-   7173
31,,85,54,Xe,-75644,,2.142,8311.5,90    0.015 B-   5056
29,,84,55,Cs,-80700,,3.140,8342.3,38    0.023 B-   4212
27,,83,56,Ba,-84913,-84913.751,0.319,8367.0,17    0.002 B-   2312
25,,82,57,La,-87226,-87226.212,2.009,8378.0,25    0.014 B-   -278
23,,81,58,Ce,-86947,-86947.862,7.230,8370.3,95    0.052 B-  -2129
21,,80,59,Pr,-84818,-84818.798,7.809,8349.4,49    0.056 B-  -2804
19,,79,60,Nd,-82013,-82013.942,27.600,8323.6,42    0.199 B-  -4513
17,,78,61,Pm,-77500,-77500.481,13.593,8285.5,43    0.098 B-  -5120
15,,77,62,Sm,-72380,,10.884,8243.0,78    0.078 B-  -6982
13,,76,63,Eu,-65398,,13.151,8187.2,18    0.095 B-  -7767
11,,75,64,Gd,-57632,,196#,8126#,1#    B-  -9501
9,,74,65,Tb,-48130,,298#,8052#,2#    B- -10489
7,,73,66,Dy,-37642,,503#,7971#,4#    B-      *
0 38,,89,51,Sb,-43939,,596#,8100#,4#    B-  12638
36,,88,52,Te,-56576,,62.410,8184.8,47    0.446 B-   7029
