A,elt,Z,S(n),S(p),Q(4B-),"Q(d,a)","Q(p,a)","Q(n,a)"
60,V,23,3481.0,273.0,15021.0,28408.0,220.0,8579.0
60,Cr,24,6655.0,290.0,16126.0,252.0,17803.0,193.0
60,Mn,25,5513.0,3.0,12171.0,216.0,5377.0,2.0
60,Fe,26,8819.0,3.0,13176.0,4.0,7238.0,3.0
60,Co,27,7491.0,0.0,8274.0,0.0,22060.0,11215.0
60,Ni,28,11387.0,0.0,9532.0,0.0,37383.0,6084.0
60,Cu,29,10058.0,1.0,4477.0,1.0,52875.0,12594.0
61,Ti,22,2091.0,19587.0,42571.0,4664.0,3390.0,8784.0
61,V,23,5335.0,920.0,15466.0,32391.0,894.0,5714.0
61,Cr,24,3876.0,218.0,16522.0,242.0,21746.0,101.0
61,Mn,25,6845.0,3.0,12361.0,193.0,10241.0,2.0
61,Fe,26,5578.0,4.0,13241.0,3.0,2571.0,16.0
61,Co,27,9319.0,0.0,8774.0,3.0,15763.0,38.0
61,Ni,28,7820.0,0.0,9860.0,0.0,30862.0,8718.0
61,Cu,29,11710.0,1.0,4799.0,0.0,45084.0,9883.0
62,V,23,3041.0,16416.0,35948.0,7564.0,4898.0,9528.0
62,Cr,24,6491.0,179.0,17677.0,906.0,25851.0,148.0
62,Mn,25,4853.0,6.0,13337.0,101.0,14263.0,6.0
62,Fe,26,8028.0,3.0,14424.0,3.0,2289.0,2.0
62,Co,27,6597.0,18.0,9792.0,18.0,9437.0,18.0
